RECORD NUMBER,TWEET,SENTIMENT,SENTIMENT RATING(-1 to +1)
1,RT @BDUTT: How many of her colleagues stood with @deepikapadukone - and vocally- when she most needed it? My @htTweets column argues that #…,Positive,0.5
3,RT @BDUTT: Those calling Karni Goons 'Fringe'; how disingenuous! Could this lawlessness be possible if the state governments were ready to…,Positive,0.1
4,"@RanveerOfficial Watched Padmavaat, Khilji is far better than iconic characters like Mokambo,Shakaal and Gabbar com… https://t.co/Z7sI9gBoId",Positive,0.3666666666666667
5,RT @sardesairajdeep: Karni Sena is doing what any terrorist group does; spread terror and violence. The real shame are the craven state gov…,Positive,0.2
6,RT @shahana_y: Just watched #Padmavaat. STOP GIVING MONEY TO SANJAY LEELA BHANSALI. That film is TERRIBLE.,Negative,-1.0
7,"RT @IndianPolls8: Winner of #IPL2018? 
#IPLAuction #IPLAuction2018 #IPL2018Auction #ipl #CSK #MI #KKR #RCB #MSDhoni #INDvSA #RohitSharma #V…",Neutral,0.0
8,"RT @VishalChoradiya: On the unending Padmavaat embarrassment, @bdutt calls out the cowardice and lack of solidarity largely characteristic…",Positive,0.21428571428571427
9,RT @abhirao: Ticket rates for #Padmavat tripled 120rs tickets at 360rs nd then they say #BoxOffice colctn is going great!Whatta marketing!!…,Neutral,0.0
10,"RT @AnkitM03: Deepika Padukone Exposes Her Mid-Riff In Ghoomar Song.. 
- People Raise Their Voice
- Call For Bharat Bandh
- Want To Chop Of…",Neutral,0.0
11,RT @abhirao: Ticket rates for #Padmavat tripled 120rs tickets at 360rs nd then they say #BoxOffice colctn is going great!Whatta marketing!!…,Neutral,0.0
12,@SudarshanNewsTV Itne virod ke bad bhi #Padmavaat kyu chalai gai,Negative,-0.6999999999999998
13,#KarniSenaExposed they did very bad #Violence in entire #India backed #BJP https://t.co/NABMttSnM1 seeing that… https://t.co/hpejrrH7Mg,Negative,-0.4549999999999999
14,"RT @TrueIndology: Does the film #Padmavaat show Khilji destroying temples, abducting and castrating slaves, spitting into mouths of Hindus,…",Negative,-0.2
15,"I am so impressed with #Padmavaat performances were outstanding @RanveerOfficial fantastic, but for me… https://t.co/E0flmb7okM",Positive,0.6333333333333333
16,RT @dbd72cbe15b84f1: This is very bad. I was surprised such a famous theatre charges more than govt stipulated. Unbearable for true cinema…,Positive,0.09000000000000002
17,RT @ShahidWebsite: Article: Sanjay Leela Bhansali's magnum opus Padmaavat has finally hit the screens and @ShahidKapoor was seen in role of…,Neutral,0.0
18,"RT @boxofficedetail: #Padmaavat Put Boxoffice On Fire In Pakistan.. Hosueful at most places across Pakistan!! 

CONGRATS to whole team of P…",Positive,0.490625
20,RT @PplOfIndia: On what ground should RG be given a front row seat? He doesn't even qualify as LoP with just 44 seats. Let him watch #Padma…,Neutral,0.0
22,"@seemantinibose Ohh...I think ""#Padmavaat "" also :P",Positive,0.75
23,RT @abhirao: Ticket rates for #Padmavat tripled 120rs tickets at 360rs nd then they say #BoxOffice colctn is going great!Whatta marketing!!…,Neutral,0.0
24,"RT @ZAbbasOfficial: Pakistan embracing #padmaavat. Don’t understand what the fuss was all about,#Padmavaat actually celebrates the pride of…",Neutral,0.0
25,"In S. leelas head, everything is poetic. That translates into the big screen.The stunning visuals, sets, the exagge… https://t.co/rD4ivvadUB",Positive,0.2916666666666667
26,"Finally #Padmavaat gets its due.

Huge collections yesterday as expected after a low thursday .

#KarniSena did spo… https://t.co/mG7JqNl9H6",Positive,0.03500000000000002
29,Your view on #Padmavaat,Neutral,0.0
30,RT @abhirao: Ticket rates for #Padmavat tripled 120rs tickets at 360rs nd then they say #BoxOffice colctn is going great!Whatta marketing!!…,Neutral,0.0
31,"RT @TrueIndology: Does the film #Padmavaat show Khilji destroying temples, abducting and castrating slaves, spitting into mouths of Hindus,…",Negative,-0.2
32,"Winner of #IPL2018? 
#IPLAuction #IPLAuction2018 #IPL2018Auction #ipl #CSK #MI #KKR #RCB #MSDhoni #INDvSA… https://t.co/WTGMNSjebb",Neutral,0.0
34,"RT @boxofficedetail: #Padmaavat Put Boxoffice On Fire In Pakistan.. Hosueful at most places across Pakistan!! 

CONGRATS to whole team of P…",Positive,0.490625
35,"#Padmavaat dekhne pe Karni Sena Mare ya na Mare... Agar #NationalAnthem pe khade nahi hue na... Toh public zarur mardegi...
#lifetips",Neutral,0.0
36,"4 reasons you should boycott #Padmavaat that neither media nor protesters told you. 
https://t.co/Ca4hevOoSr",Neutral,0.0
40,Props to @RanveerOfficial and @jimSarbh for their brilliant performances. It looked like they were the only ones ha… https://t.co/bGMbOVLqI4,Positive,0.45
41,RT @abhirao: Ticket rates for #Padmavat tripled 120rs tickets at 360rs nd then they say #BoxOffice colctn is going great!Whatta marketing!!…,Neutral,0.0
44,RT @PplOfIndia: On what ground should RG be given a front row seat? He doesn't even qualify as LoP with just 44 seats. Let him watch #Padma…,Neutral,0.0
48,"Box Office: Padmaavat Earns Fantastic On Day 2!
https://t.co/DV4QIsAxqt

#Padmavaat https://t.co/Dtg5IWgrTz",Positive,0.5
50,"@sardesairajdeep Investigation must &amp; shd , but later don't leave tht culprit it is bcz of they are well known Fat… https://t.co/NLVtMPOg05",Neutral,0.0
51,"RT @TrueIndology: Does the film #Padmavaat show Khilji destroying temples, abducting and castrating slaves, spitting into mouths of Hindus,…",Negative,-0.2
54,"RT @TrueIndology: Does the film #Padmavaat show Khilji destroying temples, abducting and castrating slaves, spitting into mouths of Hindus,…",Negative,-0.2
55,"Hey Karni Sena, South African cricketers are watching Padmavaat.",Neutral,0.0
56,"@deepikapadukone Speechless after watching your performance in #Padmavati 
One of the most Organic portrayal I have… https://t.co/qalU7KutuY",Positive,0.5
57,"RT @TrueIndology: Does the film #Padmavaat show Khilji destroying temples, abducting and castrating slaves, spitting into mouths of Hindus,…",Negative,-0.2
58,"RT @boxofficedetail: #Padmaavat Put Boxoffice On Fire In Pakistan.. Hosueful at most places across Pakistan!! 

CONGRATS to whole team of P…",Positive,0.490625
59,"RT NNShowbiz: #KarniSenaViolence threat effect, #PrasoonJoshi not to attend #JaipurLiteratureFestival #cbfc… https://t.co/P4qSaG8kyA",Neutral,0.0
60,"RT @boxofficedetail: #Padmaavat Put Boxoffice On Fire In Pakistan.. Hosueful at most places across Pakistan!! 

CONGRATS to whole team of P…",Positive,0.490625
62,"RT @boxofficedetail: #Padmaavat Put Boxoffice On Fire In Pakistan.. Hosueful at most places across Pakistan!! 

CONGRATS to whole team of P…",Positive,0.490625
63,"RT @NNShowbiz: #KarniSenaViolence threat effect, #PrasoonJoshi not to attend #JaipurLiteratureFestival #cbfc
#Padmavaat
https://t.co/QGKrPp…",Neutral,0.0
64,RT @Subhash_Bagde: @deepikapadukone  You have been my favorite since #OmShantiOm days and still going strong. What a stellar performance! #…,Positive,0.4152777777777778
65,RT @BDUTT: How many of her colleagues stood with @deepikapadukone - and vocally- when she most needed it? My @htTweets column argues that #…,Positive,0.5
66,"RT @boxofficedetail: #Padmaavat Put Boxoffice On Fire In Pakistan.. Hosueful at most places across Pakistan!! 

CONGRATS to whole team of P…",Positive,0.490625
67,"RT @HindolSengupta: Many more films like #Padmavaat ought to be made: through history, collective social memory or even art and literature…",Positive,0.3444444444444445
68,"RT @MsM_009: @deepikapadukone Speechless after watching your performance in #Padmavati 
One of the most Organic portrayal I have ever seen.…",Positive,0.5
69,RT @BDUTT: How many of her colleagues stood with @deepikapadukone - and vocally- when she most needed it? My @htTweets column argues that #…,Positive,0.5
71,RT @BDUTT: How many of her colleagues stood with @deepikapadukone - and vocally- when she most needed it? My @htTweets column argues that #…,Positive,0.5
72,Ticket rates for #Padmavat tripled 120rs tickets at 360rs nd then they say #BoxOffice colctn is going great!Whatta… https://t.co/yQXoUsWfNr,Neutral,0.0
74,"RT @TrueIndology: Does the film #Padmavaat show Khilji destroying temples, abducting and castrating slaves, spitting into mouths of Hindus,…",Negative,-0.2
75,"RT @VishalChoradiya: On the unending Padmavaat embarrassment, @bdutt calls out the cowardice and lack of solidarity largely characteristic…",Positive,0.21428571428571427
76,RT @BDUTT: How many of her colleagues stood with @deepikapadukone - and vocally- when she most needed it? My @htTweets column argues that #…,Positive,0.5
77,#Padmavaat: Playing a Merciless Anti-Hero Khilji Was a Gamble: Ranveer Singh #NewsWorldOdisha https://t.co/vGvdJoGHvg,Negative,-0.7
78,RT @Subhash_Bagde: @deepikapadukone  You have been my favorite since #OmShantiOm days and still going strong. What a stellar performance! #…,Positive,0.4152777777777778
79,"RT @TrueIndology: Does the film #Padmavaat show Khilji destroying temples, abducting and castrating slaves, spitting into mouths of Hindus,…",Negative,-0.2
81,"#Padmaavat Put Boxoffice On Fire In Pakistan.. Hosueful at most places across Pakistan!! 

CONGRATS to whole team o… https://t.co/B9mAcD5PLI",Positive,0.490625
83,@deepikapadukone @RanveerOfficial @shahidkapoor @jimSarbh @aditiraohydari         #Padmavaat is the reason I love c… https://t.co/10Nj5MHRGG,Positive,0.5
84,"RT @the_binc: #India #Padmavaat #RanveerSingh #DeepikaPadukone #SanjayLeelaBhansali #thebinc 
#IPLAuction 
https://t.co/RrWypitPvF https://…",Neutral,0.0
85,"RT @MsM_009: @deepikapadukone Speechless after watching your performance in #Padmavati 
One of the most Organic portrayal I have ever seen.…",Positive,0.5
88,"#India #Padmavaat #RanveerSingh #DeepikaPadukone #SanjayLeelaBhansali #thebinc 
#IPLAuction 
https://t.co/RrWypitPvF https://t.co/gE0sk751BG",Neutral,0.0
89,#Padmavaat Friday (Day 2) Box Office Collections - Extraordinary Numbers @deepikapadukone @RanveerOfficial… https://t.co/HQ489zzosN,Positive,0.3333333333333333
91,"@deepikapadukone Speechless after watching your performance in #Padmavati 
One of the most Organic portrayal I have… https://t.co/Xi8YaG2Hpw",Positive,0.5
92,@RanveerOfficial You carried the fear and terror terrifically. Nobody could have matched you. Well done! #Padmavaat,Neutral,0.0
93,RT @BDUTT: How many of her colleagues stood with @deepikapadukone - and vocally- when she most needed it? My @htTweets column argues that #…,Positive,0.5
96,"RT @PedestrianPoet: I’m going to buy tickets for Padmavaat and not watch it because while I support FoE I can’t, in good faith, force mysel…",Positive,0.7
97,"RT @TrueIndology: Does the film #Padmavaat show Khilji destroying temples, abducting and castrating slaves, spitting into mouths of Hindus,…",Negative,-0.2
98,"RT @HindolSengupta: Many more films like #Padmavaat ought to be made: through history, collective social memory or even art and literature…",Positive,0.3444444444444445
100,@deepikapadukone  You have been my favorite since #OmShantiOm days and still going strong. What a stellar performance! #Padmavaat,Positive,0.4152777777777778
